date,investor_type,value
Aug 2002,banks,32.659425
Aug 2002,insurance_companies,22.359873000000004
Aug 2002,foreign_investors,0.8709180000000001
Aug 2002,bank_of_israel,6.096426000000001
Sep 2002,public,30.584456999999997
Sep 2002,mutual_funds,22.250052
Sep 2002,providence_funds,71.18892899999999
Sep 2002,pension_funds,2.977911
Sep 2002,banks,30.809205
Sep 2002,insurance_companies,22.643361
Sep 2002,foreign_investors,0.805347
Sep 2002,bank_of_israel,6.030738
Oct 2002,public,29.204516
Oct 2002,mutual_funds,20.530851
Oct 2002,providence_funds,71.600628
Oct 2002,pension_funds,3.3169619999999997
