date,indexation,maturity,value
Apr 2002,nominal,10,NA
Apr 2002,real,1,3.4944444444
May 2002,nominal,1,6.5652380952
May 2002,real,10,5.3247619048
May 2002,nominal,10,NA
May 2002,real,1,3.4071428571
Jun 2002,nominal,1,8.829047619
Jun 2002,real,10,5.4171428571
Jun 2002,nominal,10,10.3566666667
Jun 2002,real,1,4.5657142857
Jul 2002,nominal,1,9.0336363636
Jul 2002,real,10,5.4345454545
Jul 2002,nominal,10,9.3345454545
Jul 2002,real,1,7.0836363636
Aug 2002,nominal,1,8.8804761905
Aug 2002,real,10,5.5433333333
Aug 2002,nominal,10,9.3161904762
Aug 2002,real,1,6.5314285714
Sep 2002,nominal,1,9.0531578947
Sep 2002,real,10,5.73
Sep 2002,nominal,10,10.4478947368
Sep 2002,real,1,6.2689473684
Oct 2002,nominal,1,9.5652173913
Oct 2002,real,10,5.8347826087
Oct 2002,nominal,10,11.6730434783
Oct 2002,real,1,6.397826087
Nov 2002,nominal,1,9.229
Nov 2002,real,10,5.8205
Nov 2002,nominal,10,11.4755
Nov 2002,real,1,5.8665
Dec 2002,nominal,1,8.3773913043
Dec 2002,real,10,5.6786956522
Dec 2002,nominal,10,10.79
Dec 2002,real,1,5.3665217391
Jan 2003,nominal,1,8.3852380952
Jan 2003,real,10,5.870952381
Jan 2003,nominal,10,NA
Jan 2003,real,1,5.3171428571
Feb 2003,nominal,1,8.8085
Feb 2003,real,10,5.824
Feb 2003,nominal,10,NA
Feb 2003,real,1,4.984
Mar 2003,nominal,1,8.5704761905
Mar 2003,real,10,5.745
Mar 2003,nominal,10,NA
Mar 2003,real,1,5.5633333333
Apr 2003,nominal,1,8.0447058824
Apr 2003,real,10,NA
Apr 2003,nominal,10,NA
Apr 2003,real,1,5.83
May 2003,nominal,1,7.4217647059
May 2003,real,10,4.99
May 2003,nominal,10,NA
May 2003,real,1,6.1423529412
Jun 2003,nominal,1,6.8580952381
Jun 2003,real,10,4.6038095238
Jun 2003,nominal,10,NA
Jun 2003,real,1,5.5014285714
Jul 2003,nominal,1,6.4182608696
Jul 2003,real,10,4.44
Jul 2003,nominal,10,NA
Jul 2003,real,1,4.5556521739
Aug 2003,nominal,1,6.1125
Aug 2003,real,10,4.7125
Aug 2003,nominal,10,NA
Aug 2003,real,1,4.5215
Sep 2003,nominal,1,5.8061904762
Sep 2003,real,10,4.6123809524
Sep 2003,nominal,10,NA
Sep 2003,real,1,4.7119047619
Oct 2003,nominal,1,5.4585
Oct 2003,real,10,4.3505
Oct 2003,nominal,10,NA
Oct 2003,real,1,4.442
Nov 2003,nominal,1,5.2580952381
Nov 2003,real,10,4.1885714286
Nov 2003,nominal,10,NA
Nov 2003,real,1,4.4428571429
Dec 2003,nominal,1,5.0830434783
Dec 2003,real,10,4.1460869565
Dec 2003,nominal,10,NA
Dec 2003,real,1,4.1013043478
Jan 2004,nominal,1,4.973
Jan 2004,real,10,3.9845
Jan 2004,nominal,10,NA
Jan 2004,real,1,3.4505
Feb 2004,nominal,1,5.1638095238
Feb 2004,real,10,4.1476190476
Feb 2004,nominal,10,NA
Feb 2004,real,1,3.4214285714
Mar 2004,nominal,1,5.0072727273
Mar 2004,real,10,4.2145454545
Mar 2004,nominal,10,NA
Mar 2004,real,1,3.59
Apr 2004,nominal,1,4.976
Apr 2004,real,10,4.3173333333
Apr 2004,nominal,10,NA
Apr 2004,real,1,3.606
May 2004,nominal,1,5.2865
May 2004,real,10,4.4105
May 2004,nominal,10,7.8715
May 2004,real,1,3.573
Jun 2004,nominal,1,5.0786363636
Jun 2004,real,10,4.2904545455
Jun 2004,nominal,10,7.8063636364
Jun 2004,real,1,3.66
Jul 2004,nominal,1,4.9005
Jul 2004,real,10,4.312
Jul 2004,nominal,10,7.7655
Jul 2004,real,1,3.517
Aug 2004,nominal,1,4.7591304348
Aug 2004,real,10,4.332173913
Aug 2004,nominal,10,7.9413043478
Aug 2004,real,1,3.157826087
Sep 2004,nominal,1,4.714375
Sep 2004,real,10,4.24125
Sep 2004,nominal,10,7.721875
Sep 2004,real,1,3.029375
Oct 2004,nominal,1,4.9547368421
Oct 2004,real,10,4.2226315789
Oct 2004,nominal,10,NA
Oct 2004,real,1,2.8715789474
Nov 2004,nominal,1,4.765
Nov 2004,real,10,4.24
Nov 2004,nominal,10,NA
Nov 2004,real,1,2.9418181818
Dec 2004,nominal,1,4.4395454545
Dec 2004,real,10,4.1359090909
Dec 2004,nominal,10,NA
Dec 2004,real,1,3.1081818182
Jan 2005,nominal,1,4.3245454545
Jan 2005,real,10,3.9704545455
Jan 2005,nominal,10,NA
Jan 2005,real,1,2.5790909091
Feb 2005,nominal,1,4.2625
Feb 2005,real,10,3.799
Feb 2005,nominal,10,NA
Feb 2005,real,1,1.9245
Mar 2005,nominal,1,4.1843478261
Mar 2005,real,10,3.7139130435
Mar 2005,nominal,10,NA
Mar 2005,real,1,1.4186956522
Apr 2005,nominal,1,4.1563157895
Apr 2005,real,10,3.7626315789
Apr 2005,nominal,10,NA
Apr 2005,real,1,2.0421052632
May 2005,nominal,1,4.0480952381
May 2005,real,10,3.6452380952
May 2005,nominal,10,NA
May 2005,real,1,2.4119047619
Jun 2005,nominal,1,3.9905
Jun 2005,real,10,3.695
Jun 2005,nominal,10,NA
Jun 2005,real,1,2.3885
Jul 2005,nominal,1,4.1604761905
Jul 2005,real,10,3.6442857143
Jul 2005,nominal,10,NA
Jul 2005,real,1,2.6161904762
Aug 2005,nominal,1,4.1913636364
Aug 2005,real,10,3.4740909091
Aug 2005,nominal,10,NA
Aug 2005,real,1,2.255
Sep 2005,nominal,1,4.2238095238
Sep 2005,real,10,3.2957142857
Sep 2005,nominal,10,NA
Sep 2005,real,1,1.9266666667
Oct 2005,nominal,1,NA
